source,target
64921,65651
64921,68430
64921,498516
65075,500998
65116,494937
65121,56613
65121,64302
65121,53973
65121,528357
65121,501405
65121,64713
65121,416728
65266,247100
65266,186513
65266,143772
65266,166564
65505,501615
65509,59807
65509,83872
65509,83873
65509,87646
65509,259320
65509,524282
65509,156036
65509,156576
65509,163126
65509,544503
65509,555124
65509,237511
65509,418027
65509,220278
65509,117809
65509,104963
65509,62715
65509,263320
65509,505810
65641,484151
65641,177549
65641,415837
65641,103689
65641,203760
65871,78607
65923,73007
67135,74311
67135,74880
67135,62494
67135,50083
67135,50182
67135,92724
67135,87848
67135,264165
67135,425623
67135,153683
67135,1062609
67135,47399
67135,48926
67135,234592
67135,15735
67135,27703
67135,208890
67135,105773
67135,577569
67135,44501
68170,248341
68170,478734
68170,499896
68615,56846
68615,57648
68615,96838
68615,249630
68615,433926
68615,441987
68615,481223
68615,442462
68615,497591
68615,502427
68615,1066294
68615,106863
68615,131497
68615,31015
68615,98226
71226,7830
71343,85976
71413,89908
71413,207245
71413,121616
71495,71319
71621,71493
71621,78306
71621,454400
71621,497226
71621,224514
71621,109343
71621,568178
71997,420319
72398,70342
72398,58927
72398,50087
72398,80082
72398,82300
72398,87936
72398,438365
72398,258669
72398,261283
72398,469696
72398,471091
72398,164527
72398,241759
72398,186920
72398,147996
72398,501315
72398,505847
72398,507081
72398,146860
72398,238024
72398,189459
72398,42353
72398,227889
72398,47122
72398,234268
72398,408709
72398,401977
72398,17365
72398,27787
72398,31447
72398,32944
72398,1053134
72398,1053132
72398,7175
72398,10138
72398,11490
72398,12243
72398,103754
72398,22736
72398,1055127
72398,464594
72969,212443
72969,13463
73111,12786
73111,1055006
73111,456389
73208,453358
73208,501402
73208,41255
73208,10283
73360,248684
73360,433549
73360,260262
73360,426162
73360,514171
73360,516048
73360,449136
73360,490563
73360,188916
73360,189392
73360,147876
73360,578341
73360,496020
73360,227850
73360,412587
73360,218295
73360,571618
73360,430304
73492,521631
73721,263769
73721,481232
73721,501025
73721,560132
73721,573222
