source,target
64904,561244
64904,567450
64904,567581
66239,253087
67710,67346
67710,61651
67710,238230
68430,67978
68746,424350
71171,72287
71342,71933
74007,219453
77151,92030
55522,1040294
56663,1002323
59168,1053702
61256,58222
62126,504027
62301,221220
62557,161856
62557,199542
49932,487117
49955,398190
50290,557034
51621,454655
51749,394877
51749,396971
51749,222269
93707,243707
93707,1039600
93777,93778
93777,93779
93777,507364
93777,93774
93782,415264
93782,1085965
94495,412194
95438,197669
95438,418015
95438,405011
95438,20499
95998,487120
95998,416808
95998,475643
81710,571084
82301,445679
83024,557717
83225,494273
83432,521726
83938,402753
84295,501040
84375,1061831
88178,442868
89572,3409
89626,56044
89626,454595
89626,450091
89626,1058419
89626,569698
89626,573895
89626,478609
89847,73122
90666,491768
90788,522368
86950,158075
86950,131471
63592,530267
63592,507278
64118,65109
64118,414671
64118,407735
64118,410348
97781,97590
97794,97582
97794,412811
54489,395792
54489,107895
243434,149789
244085,555874
244085,188658
246497,503879
246497,130095
247570,142953
251994,262726
252425,160304
252744,148306
399657,416267
399657,216688
432818,432817
433409,486832
434180,50708
434180,483292
434180,11721
434488,537908
434690,123013
440602,441108
440631,441138
440635,559460
441689,244138
441689,479065
441689,212107
442106,215654
442244,442245
442268,520165
259042,61102
263166,517219
263166,264890
424327,468808
425926,520087
426569,426570
467554,13735
470520,54397
471797,471798
478580,144962
478580,3549
480239,480240
480242,138649
481122,61737
481122,61951
482943,75421
482943,1084927
483032,492233
484144,226273
484652,60768
485939,61515
485939,494156
485940,67205
485940,58921
487601,40508
487601,40416
513565,249098
513565,468807
513565,470645
513565,526428
513565,506814
516048,122178
519379,519382
451993,139109
453412,487117
453502,29471
454208,241619
454208,496410
455336,100232
455597,455598
455727,155344
456625,492984
456653,434441
456658,92990
456658,556088
456658,418262
456659,59772
457136,182493
457156,563963
457959,42507
458138,558351
458138,424246
458340,458621
444344,243744
444991,444992
445855,240506
447015,447014
447524,411522
447583,461643
450022,411212
450749,420581
450833,450834
487963,487964
488067,260348
488067,449292
488067,47588
488067,17560
488067,109189
488554,72074
488554,75983
488554,168744
489028,71919
489028,78616
489583,489586
489954,1040294
490563,511663
490769,489836
490770,489838
490931,494420
491190,491112
491568,501250
492596,513744
493893,562382
460165,459549
494821,494822
494923,425919
442356,442358
442550,442551
442773,494363
442773,209173
442791,192936
442791,188536
442791,564926
443140,443141
443191,191107
443366,244728
443541,527765
443541,148085
443866,443870
528129,528131
528129,528134
528129,528135
531692,220690
524003,524010
524003,524011
524699,439182
527097,172270
527097,256819
527192,1039993
527959,503774
527959,534756
519720,519721
520289,134318
520328,513721
522127,522128
522127,144974
522127,212107
522127,569489
522127,510301
522127,430851
522156,522157
158724,257392
158807,434612
158807,525893
161469,496995
162541,199290
162921,73728
162921,433739
162921,529483
162921,27646
265655,14478
265927,58844
266402,493965
191990,397663
192352,515022
192352,139343
192352,418605
192352,538409
194502,426124
197730,394991
199757,396272
168462,71217
168462,235091
169089,555029
169290,494001
169290,1069156
169379,171923
170089,478932
171837,103287
172054,86661
173023,155803
238929,26918
167097,445497
185356,500093
185724,66528
185724,67634
185724,497555
185724,237832
185724,496669
185724,539567
242738,541187
188631,37484
189013,50889
189152,4658
189282,233441
190432,497130
174747,253087
178742,240954
179127,499979
179127,404295
143117,186437
143727,418457
148817,96623
152768,71809
152768,486316
153273,228536
153557,1004964
154254,56181
155518,494435
183919,267816
184781,395318
253974,39143
255534,461524
255534,465766
255534,473222
255534,473223
255534,473224
255534,473225
255907,438964
498008,63367
498307,498308
499644,214690
499970,499975
501124,501144
501396,564986
501434,91198
502544,251687
502893,555034
506563,19513
506563,103050
506805,554326
540862,161270
540862,172493
540862,202396
541515,29566
543165,521351
543171,577261
543445,455821
543445,543446
547222,1067192
547303,547304
548849,568960
548849,568961
548849,568965
553953,62043
553953,1048288
557722,110318
557722,253129
557722,43844
558772,1072593
561059,138437
561059,575307
561229,561231
561242,561243
534594,515583
534594,134125
536410,439827
536410,450151
537403,537410
537403,537411
537403,537412
537406,561340
537406,537420
537406,537421
537406,537422
537406,537423
537406,537424
537406,537428
537408,537425
537408,537426
537408,537427
551175,439714
551175,253432
51028,395059
51028,1031007
188359,569306
188359,259427
162298,395937
504266,430010
504707,504706
504707,504711
504265,212477
510162,13300
1003474,398102
1003474,1003476
1003474,1003475
1003474,1003543
1060414,1072972
88749,142334
88749,11379
108186,71623
108186,254221
206253,549368
206336,73021
206663,172042
206774,401393
206949,431665
207728,457347
207728,459624
207728,138842
207728,123751
207728,203447
207728,559681
207728,435709
207728,476527
207728,444860
4560,394375
109401,504826
4675,60638
4698,191174
208202,261968
208202,482145
208202,265421
208202,193731
208202,407941
139267,144205
140510,465094
142286,137552
142593,122430
142593,573139
1062050,1073140
520759,185735
476087,535203
476087,106317
504686,559065
127727,395487
127868,1053311
127868,1053310
127868,1053309
127868,1053308
127868,1053307
127868,1053306
236796,442911
237157,180131
237700,409588
237873,165053
238020,439044
238356,50098
577688,138438
577688,116660
578886,55234
578886,557623
579354,516054
579354,188258
579354,115411
495550,519399
