source,target
62760,66936
62760,188128
62760,547867
62760,343167
62760,547771
62760,117336
62760,93619
50877,76348
50877,425814
50877,425871
50877,190076
50877,254935
50877,501663
50877,207870
50877,1044231
50877,39092
50877,45093
50877,411738
50877,118536
50877,118598
50877,21044
50877,65943
50877,410357
93488,50693
93488,92598
93488,94150
93488,94259
93488,244762
93488,479082
93488,455318
93488,193733
93488,257424
93488,540997
93488,541012
93488,568589
93488,122691
93488,506832
93488,1041658
93488,246663
93488,41340
93488,232737
93488,232746
93488,232763
93488,419055
93488,492864
93488,7433
93488,9919
93488,10404
93488,115666
93488,212271
93488,214664
93488,200018
93488,200345
93488,202006
93488,24854
93488,1039647
93488,539572
93488,1051213
93488,567837
93488,540998
93488,97391
469973,188843
469973,1088528
469973,491677
469973,1088503
469973,486345
469973,489734
471291,72398
471291,89549
471291,445806
471291,172340
471291,190541
471291,134362
471291,232765
471291,111021
471291,300446
471291,300693
471291,300717
471291,307202
471291,320813
471291,563719
471291,571527
512579,467933
512579,523659
512579,571184
458653,307683
490791,483188
490791,459409
490791,460185
490791,578799
490791,566052
490791,472834
490791,336914
493900,492902
493900,520785
493900,192896
493900,103683
493900,306245
477204,344207
528860,117606
528860,105160
528860,406201
523876,495930
524086,524107
524086,464746
520866,1076413
520866,520844
522962,513505
522962,445297
522962,525240
363572,303618
502406,444080
502406,28493
502406,301261
502406,357175
502406,301099
502406,25344
502406,123026
502406,30615
502406,301886
504388,504389
542448,324597
542448,1006586
543563,514650
543563,363312
545036,526872
555444,452641
555444,555445
535006,1058791
535006,1058788
535006,535007
264844,579492
264844,569945
264844,1061682
264844,579600
264844,50794
309181,83799
309181,63838
309181,260730
309181,160507
309181,162209
309181,143227
309181,541276
309181,206272
309181,126243
309181,123891
309181,238209
309181,137548
309181,48520
309181,360204
309181,13405
309181,197718
309181,341901
309181,105569
309181,202127
309181,332994
309181,238103
309181,71243
309181,192610
92849,261587
92849,568589
92849,559689
92849,244262
92849,265252
92849,178229
92849,548512
92849,562442
92849,59078
92849,574344
92849,505605
92849,419199
92849,421708
92849,131498
92849,220493
92849,19472
92849,115666
92849,212481
92849,26864
92849,540998
92849,1043275
524399,466882
524399,466883
524399,515438
524399,493517
524399,525649
524399,527030
524399,527031
524399,527040
524399,527080
524399,527084
524399,527183
524399,527192
524399,527227
524399,521638
524399,241919
524399,503020
524399,558147
524399,236177
524399,574605
524399,565257
524399,539508
524399,1078087
524399,1005032
524399,542193
524399,527120
524399,196623
524399,1002453
524399,1071844
524399,542153
524399,209113
524399,1001760
553657,427216
128785,124417
128785,227708
128785,389687
128785,143858
128785,150607
128785,461627
128785,492653
128785,74302
128785,195121
128785,162662
128785,573447
128785,573515
128785,100958
128785,103750
128785,103979
128785,104962
454898,1051044
454898,163102
454898,443690
1044219,1037729
1048374,1077613
232921,56706
232921,86118
232921,467807
232921,162444
232921,172135
232921,501728
232921,542853
232921,39098
232921,217178
232921,116315
232921,105472
232921,567821
232921,300754
361498,79210
361498,455501
361498,493422
361498,520356
361498,523510
361498,553136
361498,106440
361498,20368
361498,474565
361557,81982
361557,90465
361557,188729
361557,175015
361557,561370
361557,141700
361557,229969
361557,361483
361557,34649
361557,303293
361557,303562
361557,474552
361557,555363
361557,548399
361557,431624
361557,327145
361557,420049
361557,531392
361557,362003
361557,437606
361557,303386
361557,325206
361557,307242
361557,318549
411662,257399
412450,139173
412450,420915
412450,546791
412450,480895
412450,154516
217892,65420
217892,68386
217892,72482
217892,74686
217892,57658
217892,51750
217892,96562
217892,97374
217892,80488
217892,82821
217892,82822
217892,85180
217892,89218
217892,87816
217892,54416
217892,252425
217892,425641
217892,468890
217892,471095
217892,484878
217892,513444
217892,455919
217892,458239
217892,525459
217892,519776
217892,520328
217892,520406
217892,520557
217892,159955
217892,163156
217892,196183
217892,171875
217892,241323
217892,189152
217892,189776
217892,147984
217892,150295
217892,154752
217892,107532
217892,237802
217892,41447
217892,413179
217892,228272
217892,43516
217892,45440
217892,45754
217892,48132
217892,412172
217892,412908
217892,224759
217892,220829
217892,30852
217892,31071
217892,210118
217892,4854
217892,6219
217892,7074
217892,7412
217892,7907
217892,10937
217892,11724
217892,117070
217892,100684
217892,201716
217892,105657
217892,21077
217892,22570
217892,26626
217892,120307
217892,121624
217892,318873
217892,13426
217892,577095
217892,577165
217892,43730
217892,475378
217892,267400
217892,135014
217892,1073455
217892,176289
217892,26024
217892,56312
351066,1082803
353414,300119
353414,324382
353414,435353
354845,306338
354845,566642
354999,330044
356196,546898
356196,440958
358842,435583
358842,480689
358842,452409
358842,460220
358842,556830
358842,309229
358842,347792
358842,341473
358842,335526
360604,487442
360604,171463
360604,363873
360604,503020
360604,523847
360604,523848
360604,523855
360604,523856
360604,475715
335536,560085
335656,554840
335656,554841
85878,109336
85878,208459
85878,126310
85878,126397
85878,232829
85878,45488
85878,47049
85878,18818
85878,50334
85878,80790
85878,159248
85878,254932
85878,86136
85878,505855
85878,397966
85878,51015
85878,153504
85878,153656
85878,74968
85878,425870
85878,67067
85878,74848
85878,185727
85878,505930
85878,66132
85878,81618
85878,96294
85878,478803
85878,1056235
85878,210115
85878,211607
85878,101744
85878,105722
85878,435515
193244,230633
193244,230709
193244,130146
193244,445275
193244,457163
193244,461619
193244,502278
193244,1044249
193244,306093
51213,410830
51213,132991
51213,88821
51213,442209
51213,571309
51213,481666
51213,55551
1054616,355880
325015,367491
325015,352031
325015,352355
325015,17566
325015,118318
325015,303575
325015,303576
325015,318260
325015,15455
325015,309410
325015,47495
341936,208215
341936,533307
341936,1054057
341936,1049013
100971,59763
100971,49578
100971,92575
100971,90574
100971,193257
100971,208329
100971,16170
100971,210249
100971,211879
100971,103678
100971,305678
100971,572701
300066,441340
300066,127868
300066,219352
300066,75039
300068,73698
300068,58964
300068,59067
300068,59308
300068,60292
300068,51718
300068,53263
300068,81125
300068,81674
300068,83968
300068,84663
300068,89367
300068,99711
300068,244217
300068,253793
300068,438749
300068,486293
300068,454481
300068,455377
300068,456531
300068,456700
300068,458468
300068,458521
300068,459005
300068,442383
300068,532132
300068,160371
300068,164697
300068,196774
300068,199276
300068,166605
300068,184979
300068,242264
300068,190281
300068,190686
300068,155593
300068,181392
300068,499451
300068,455624
300068,107628
300068,127353
300068,28185
