source,target
70198,62889
72634,72849
72634,62661
72634,62663
72634,531408
72808,196276
72955,531471
73109,148250
74037,190289
74827,167070
54664,504112
54664,350280
54664,540998
55875,397439
59412,192616
60340,463732
60340,519655
60340,232042
92792,529011
92792,39934
92792,39953
92792,40086
92792,1007583
92792,493883
92792,1007585
92792,493924
92792,40104
92792,1007584
92792,40013
92792,40002
92792,39985
93467,478011
95390,188696
82822,443527
82822,198246
82822,577102
82822,5903
83208,448428
90022,244898
90580,234593
90735,1048416
91606,51776
91606,472857
86554,416174
64092,437684
87510,82043
87510,107709
87510,103576
98166,173278
243453,470534
245540,503054
250372,200540
251541,489299
252934,453860
433549,433659
440043,255534
440043,40214
440043,40217
441971,566226
442275,442276
395436,486226
261615,1004480
261615,217648
262786,97794
262786,188631
263409,231504
424640,71716
424640,465870
464347,564607
465913,487601
465913,487603
465913,40522
465913,1043284
465913,1043281
465913,1043282
465913,1043283
465913,555292
465913,40418
465913,40417
465913,531263
465913,55375
465913,40421
466567,252276
466567,408192
466567,577647
469696,87936
477472,569417
477486,570395
477486,523802
477969,6369
479720,479721
479720,479722
479720,511737
479720,520167
479720,417619
479720,226109
479720,202111
484684,470533
484684,194113
484684,542337
484684,543444
484684,235536
484684,421353
484684,421617
484684,29962
485510,569399
485657,1006587
485659,55538
485659,47698
485659,225105
485659,12343
485829,395435
452369,82425
452369,452371
452471,98045
453101,453102
453101,531926
453101,189013
453101,8888
453101,566241
455460,462719
455460,481844
455460,455461
455460,557855
456084,456085
450027,518500
450027,571659
451505,164603
487988,453719
487988,578886
487988,349699
488601,546475
489037,549372
489699,1041063
489699,1041066
493827,185722
444051,115093
529628,86507
529628,167
529628,207480
529628,217648
529628,93794
529628,505910
531550,546952
531550,560954
525305,182648
525305,234236
525305,222567
525305,131702
525432,553363
521089,521090
522363,238641
522927,522928
163504,40221
264656,53070
264656,229468
267759,525382
267759,234492
267759,22872
193593,243389
194398,532229
166355,577109
166355,24486
166355,928
166355,237201
166488,57693
166488,240685
166488,540560
166488,540575
184952,457191
184952,103671
242242,97466
241012,229634
187183,509804
188332,489284
188332,145944
188581,34082
188773,544698
188773,546795
174729,445398
174729,543171
174729,574651
174729,575611
175143,510228
175143,561082
176783,100606
179336,470866
179336,511244
179336,515710
179336,220579
179482,509053
179482,562245
143081,335645
144175,577628
147365,237254
182141,93345
182141,244067
182141,427877
182141,533153
182141,43205
182141,103960
254671,160583
254671,227340
255684,437614
380138,518764
498665,172326
504326,410383
506739,267259
507068,573279
540713,185540
540713,143367
540713,126140
540722,434930
540722,434931
540809,263740
540813,82259
540813,501893
541476,541604
542853,422805
542959,497757
544003,556537
545127,261594
545127,153672
545127,153673
545127,546334
545127,14354
545127,571199
545127,455737
546179,63080
546683,412588
547343,62623
549156,472783
549192,263450
549192,263452
549192,263739
555016,580470
555775,549500
558374,527162
558374,109125
558815,182500
559126,93948
560868,560873
561192,561198
561200,561217
561245,561246
535588,533410
1065754,1065750
1065782,1065469
456265,108663
456265,1083492
579566,255224
308698,534367
502089,504266
502089,504712
502089,504707
502089,504708
502089,504265
502089,504709
502089,155429
502089,504319
502089,108764
485438,246791
485438,452240
485438,502135
106655,13904
107012,244185
108231,520639
3460,123004
3460,17097
206650,177521
207321,262798
140266,433877
140266,484078
140266,543447
142757,504813
254875,488599
254875,482988
254875,482990
254875,440236
183180,133232
183180,12965
505605,153637
1006768,476087
127321,456805
127321,130771
123230,511031
346994,443873
1044065,451859
1049478,1066701
577694,512254
577694,166679
578057,578058
578553,246531
578553,519266
578553,454208
578553,171699
578553,184865
578553,533802
578553,117480
578553,576992
578589,51694
578773,444651
578773,450749
